replica,campaign_id,job_id,n_side,dimension,rtol,backend,baseline,n_pairs,paired_ratio_median,paired_ratio_q1,paired_ratio_q3,paired_ratio_iqr
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,64,4096,1e-07,leja,kiops,12,1.2532600484816534,1.251347526688191,1.254749253681862,0.003401726993671028
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,64,4096,1e-07,hybrid,kiops,12,1.0741779930436612,1.0732081955209822,1.0751930126438733,0.0019848171228911138
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,64,4096,1e-07,auto,kiops,12,1.2831195243392974,1.2822505927737213,1.2839486827508226,0.0016980899771013025
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,64,4096,1e-05,leja,kiops,12,1.2831172767546404,1.2796849599269646,1.2893188351721128,0.009633875245148138
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,64,4096,1e-05,hybrid,kiops,12,1.1148262946329397,1.1088674032376387,1.1187590338845392,0.009891630646900573
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,64,4096,1e-05,auto,kiops,12,1.3210572726357832,1.3184907237345238,1.3236740377832619,0.0051833140487380636
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,128,16384,1e-07,leja,kiops,12,1.080189985180633,1.077967274596962,1.0811265616593602,0.0031592870623982083
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,128,16384,1e-07,hybrid,kiops,12,1.044226557311735,1.0429377667134587,1.0479384170683734,0.005000650354914704
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,128,16384,1e-07,auto,kiops,12,1.0981057755227397,1.0929512755426412,1.099268969423493,0.0063176938808517935
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,128,16384,1e-05,leja,kiops,12,1.1115139189575378,1.108744888410666,1.1128573004222033,0.004112412011537225
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,128,16384,1e-05,hybrid,kiops,12,1.1055356030855341,1.1019165825499213,1.1064446111618473,0.004528028611926027
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,128,16384,1e-05,auto,kiops,12,1.1297816470222455,1.12551369863091,1.1325224916170884,0.007008792986178403
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,256,65536,1e-07,leja,kiops,12,1.4661821591496458,1.4603642106985015,1.4678216030722946,0.007457392373793059
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,256,65536,1e-07,hybrid,kiops,12,1.2474907933794739,1.2408442041745524,1.2493691609687243,0.008524956794171867
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,256,65536,1e-07,auto,kiops,12,1.4836967216800883,1.479692507825455,1.4895752426564857,0.009882734831030637
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,256,65536,1e-05,leja,kiops,12,1.4503946515337993,1.4461726547969058,1.4551993244939356,0.00902666969702981
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,256,65536,1e-05,hybrid,kiops,12,1.3633175003040914,1.3611439420800258,1.3683768631681525,0.007232921088126787
rep1,cpu2d_toms_balanced_v082_leja80_20260904a,2203999,256,65536,1e-05,auto,kiops,12,1.459553238907259,1.455528526192677,1.4665118228235965,0.01098329663091957
rep2,cpu2d_toms_balanced_v082_leja80_rep2_20260904b,2206865,64,4096,1e-07,leja,kiops,12,1.3044624564865703,1.2996096021592995,1.309303523446944,0.009693921287644347
rep2,cpu2d_toms_balanced_v082_leja80_rep2_20260904b,2206865,64,4096,1e-07,hybrid,kiops,12,1.124297009434946,1.1205082357651173,1.1285922568666598,0.008084021101542493
rep2,cpu2d_toms_balanced_v082_leja80_rep2_20260904b,2206865,64,4096,1e-07,auto,kiops,12,1.3317145661606284,1.3237393780772375,1.341621904272435,0.01788252619519759
rep2,cpu2d_toms_balanced_v082_leja80_rep2_20260904b,2206865,64,4096,1e-05,leja,kiops,12,1.3326770762488431,1.3246247706462215,1.3368121125760295,0.012187341929807971
rep2,cpu2d_toms_balanced_v082_leja80_rep2_20260904b,2206865,64,4096,1e-05,hybrid,kiops,12,1.1699311827556311,1.1608059694029853,1.1775282781813354,0.016722308778350126
rep2,cpu2d_toms_balanced_v082_leja80_rep2_20260904b,2206865,64,4096,1e-05,auto,kiops,12,1.37418222228058,1.3641644331678227,1.3816711659738,0.017506732805977254
rep2,cpu2d_toms_balanced_v082_leja80_rep2_20260904b,2206865,128,16384,1e-07,leja,kiops,12,1.1240185685986424,1.1204254999851426,1.126202903800063,0.005777403814920312
rep2,cpu2d_toms_balanced_v082_leja80_rep2_20260904b,2206865,128,16384,1e-07,hybrid,kiops,12,1.0824270560143159,1.0789428491297282,1.0878092693049404,0.00886642017521222
