n_side,dimension,rtol,backend,baseline,n_pairs,paired_ratio_median,paired_ratio_q1,paired_ratio_q3,paired_ratio_iqr
64,4096,1e-07,leja,kiops,12,1.2532600484816534,1.251347526688191,1.254749253681862,0.003401726993671028
64,4096,1e-07,hybrid,kiops,12,1.0741779930436612,1.0732081955209822,1.0751930126438733,0.0019848171228911138
64,4096,1e-07,auto,kiops,12,1.2831195243392974,1.2822505927737213,1.2839486827508226,0.0016980899771013025
64,4096,1e-05,leja,kiops,12,1.2831172767546404,1.2796849599269646,1.2893188351721128,0.009633875245148138
64,4096,1e-05,hybrid,kiops,12,1.1148262946329397,1.1088674032376387,1.1187590338845392,0.009891630646900573
64,4096,1e-05,auto,kiops,12,1.3210572726357832,1.3184907237345238,1.3236740377832619,0.0051833140487380636
128,16384,1e-07,leja,kiops,12,1.080189985180633,1.077967274596962,1.0811265616593602,0.0031592870623982083
128,16384,1e-07,hybrid,kiops,12,1.044226557311735,1.0429377667134587,1.0479384170683734,0.005000650354914704
128,16384,1e-07,auto,kiops,12,1.0981057755227397,1.0929512755426412,1.099268969423493,0.0063176938808517935
128,16384,1e-05,leja,kiops,12,1.1115139189575378,1.108744888410666,1.1128573004222033,0.004112412011537225
128,16384,1e-05,hybrid,kiops,12,1.1055356030855341,1.1019165825499213,1.1064446111618473,0.004528028611926027
128,16384,1e-05,auto,kiops,12,1.1297816470222455,1.12551369863091,1.1325224916170884,0.007008792986178403
256,65536,1e-07,leja,kiops,12,1.4661821591496458,1.4603642106985015,1.4678216030722946,0.007457392373793059
256,65536,1e-07,hybrid,kiops,12,1.2474907933794739,1.2408442041745524,1.2493691609687243,0.008524956794171867
256,65536,1e-07,auto,kiops,12,1.4836967216800883,1.479692507825455,1.4895752426564857,0.009882734831030637
256,65536,1e-05,leja,kiops,12,1.4503946515337993,1.4461726547969058,1.4551993244939356,0.00902666969702981
256,65536,1e-05,hybrid,kiops,12,1.3633175003040914,1.3611439420800258,1.3683768631681525,0.007232921088126787
256,65536,1e-05,auto,kiops,12,1.459553238907259,1.455528526192677,1.4665118228235965,0.01098329663091957
